movie_title,genre,mpaa_rating,total_gross,inflation_adjusted_gross,runtime,imdb_rating,rotten_tomatoes_critic_rating,release_year,release_month
The Waterboy,Comedy,PG-13,161491646,288691833,90.0,6.1,35.0,1998,11
I'll Be Home For Christmas,Comedy,PG,12214338,21941840,86.0,5.5,23.0,1998,11
A Bug's Life,Adventure,G,162798565,288981698,95.0,7.2,92.0,1998,11
Enemy of the State,Action,R,111549836,198472008,132.0,7.3,71.0,1998,11
Rushmore,Black Comedy,R,17105219,28392518,93.0,7.7,94.0,1998,12
A Civil Action,Drama,PG-13,56709981,94139530,115.0,6.5,60.0,1998,12
Mighty Joe Young,Adventure,PG,50632037,87906042,114.0,5.6,50.0,1998,12
My Favorite Martian,Comedy,PG,36850101,61150849,93.0,5.1,12.0,1999,2
The Other Sister,Romantic Comedy,PG-13,27807627,46145331,129.0,6.5,28.0,1999,2
Doug's 1st Movie,Adventure,G,19421271,32228598,77.0,1.0,26.0,1999,3
Ten Things I Hate About You,Romantic Comedy,PG-13,38177966,63354375,97.0,7.3,69.0,1999,3
Endurance,,PG,229128,380218,83.0,,,1999,5
Instinct,Drama,R,34105207,56595842,126.0,6.0,81.0,1999,6
Tarzan,Adventure,G,171091819,283900254,88.0,1.0,88.0,1999,6
Summer of Sam,Drama,R,19288130,32007656,142.0,6.6,74.0,1999,7
Inspector Gadget,Comedy,PG,97387965,161610341,78.0,4.1,21.0,1999,7
The Sixth Sense,Thriller/Suspense,PG-13,293506292,485424724,107.0,8.1,85.0,1999,8
The 13th Warrior,Action,R,32698899,54262148,102.0,1.0,33.0,1999,8
Breakfast of Champions,Comedy,R,178287,295851,110.0,4.6,25.0,1999,9
Mumford,Comedy,R,4559569,7566363,112.0,6.9,71.0,1999,9
"Mystery, Alaska",Comedy,R,8891623,14755189,119.0,6.7,38.0,1999,10
The Straight Story,Drama,G,6197866,10111144,112.0,8.0,96.0,1999,10
The Insider,Drama,R,28965197,47794214,157.0,7.8,96.0,1999,11
Toy Story 2,Adventure,G,245852179,404450426,92.0,2.0,100.0,1999,11
Cradle Will Rock,Drama,R,2899970,4609153,132.0,6.9,64.0,1999,12
Deuce Bigalow: Male Gigolo,Comedy,R,65535067,106921374,88.0,5.7,23.0,1999,12
Bicentennial Man,Drama,PG,58220776,94838225,132.0,6.9,36.0,1999,12
Play it to the Bone,Comedy,R,8427204,13180524,124.0,5.4,11.0,1999,12
Fantasia 2000 (IMAX),Musical,G,60507228,94852354,75.0,2.0,82.0,2000,1
Gun Shy,Comedy,R,1638202,2562155,101.0,5.7,0.0,2000,2
The Tigger Movie,Adventure,G,45542421,71228678,77.0,6.3,63.0,2000,2
Mission to Mars,Adventure,PG,60874615,95208344,114.0,5.7,24.0,2000,3
High Fidelity,Comedy,R,27277055,42661516,113.0,7.5,91.0,2000,3
Keeping the Faith,Romantic Comedy,PG-13,37036404,57925202,128.0,6.4,74.0,2000,4
Dinosaur,Adventure,PG,137748063,215438985,82.0,6.5,64.0,2000,5
Shanghai Noon,Western,PG-13,56932305,89042541,110.0,6.6,78.0,2000,5
Gone in 60 Seconds,Action,PG-13,101643008,158970411,118.0,6.0,25.0,2000,6
Fantasia 2000 (Theatrical Release),Musical,G,9103630,14238144,75.0,2.0,82.0,2000,6
The Kid,Comedy,PG,69688384,108993148,104.0,1.0,100.0,2000,7
Coyote Ugly,Drama,PG-13,60786269,95070168,100.0,2.0,24.0,2000,8
The Crew,Comedy,PG-13,13019253,20362201,88.0,2.0,13.0,2000,8
Duets,Drama,R,4734235,7404372,112.0,2.0,20.0,2000,9
Remember the Titans,Drama,PG,115654751,180742479,113.0,2.0,73.0,2000,9
Unbreakable,Thriller/Suspense,PG-13,94999143,148208901,106.0,2.0,69.0,2000,11
102 Dalmatians,Comedy,G,66941559,104055039,100.0,1.0,31.0,2000,11
The Emperor's New Groove,Adventure,G,89296573,136789252,78.0,2.0,85.0,2000,12
"O Brother, Where Art Thou?",Comedy,PG-13,45506619,67922002,107.0,2.0,77.0,2000,12
Double Take,Action,PG-13,29823162,44418589,88.0,2.0,11.0,2001,1
Recess: School's Out,Comedy,G,36696761,54656124,82.0,6.6,60.0,2001,2
Just Visiting,Comedy,PG-13,4777007,7114869,88.0,5.8,33.0,2001,4
Pearl Harbor,Action,PG-13,198539855,295705112,183.0,6.2,25.0,2001,5
Atlantis: The Lost Empire,Adventure,PG,84052762,125188122,96.0,6.9,49.0,2001,6
crazy/beautiful,Drama,PG-13,16929123,25214223,99.0,6.5,53.0,2001,6
The Princess Diaries,Comedy,G,108244774,161218928,115.0,2.0,48.0,2001,8
Bubble Boy,Comedy,PG-13,5002310,7450434,84.0,2.0,30.0,2001,8
Max Keeble's Big Move,Comedy,PG,17292381,25749730,86.0,2.0,26.0,2001,10
Corky Romano,Comedy,PG-13,23978402,35705805,86.0,4.6,6.0,2001,10
High Heels and Low Lifes,,R,226792,337782,86.0,6.2,25.0,2001,10
"Monsters, Inc.",Adventure,G,289423425,416073179,92.0,8.1,96.0,2001,11
Out Cold,Comedy,PG-13,13906394,20700691,89.0,6.3,8.0,2001,11
The Royal Tenenbaums,Black Comedy,R,52353636,76758193,110.0,7.6,80.0,2001,12
Beauty and the Beast (IMAX),Musical,G,25487028,36980311,84.0,7.1,71.0,2002,1
Frank McKlusky C.I.,,PG-13,0,0,83.0,3.8,,2002,1
Snow Dogs,Comedy,PG,81150692,117745317,99.0,5.2,24.0,2002,1
The Count of Monte Cristo,Drama,PG-13,54228104,78682079,131.0,7.7,73.0,2002,1
Peter Pan: Return to Neverland,Adventure,G,48430258,70269715,72.0,5.8,46.0,2002,2
Reign of Fire,Action,PG-13,43061982,62480631,101.0,6.2,41.0,2002,2
Sorority Boys,Comedy,R,10198766,14797862,93.0,5.5,13.0,2002,3
The Rookie,Drama,G,75600072,109691666,127.0,7.0,84.0,2002,3
Big Trouble,Comedy,PG-13,7262288,10537188,85.0,6.5,47.0,2002,4
ESPN's Ultimate X - The Movie,Documentary,PG,4197175,6089874,47.0,7.3,,2002,5
Bad Company,Action,PG-13,30157016,43756218,108.0,2.0,10.0,2002,6
Bad Company,Action,PG-13,30157016,43756218,116.0,2.0,10.0,2002,6
Lilo & Stitch,Adventure,PG,145771527,211506702,85.0,2.0,86.0,2002,6
The Country Bears,Adventure,G,16988996,24650121,88.0,2.0,30.0,2002,7
Signs,Thriller/Suspense,PG-13,227965690,330754439,106.0,2.0,74.0,2002,8
Sen to Chihiro no Kamikakushi,Adventure,PG,10049886,14338992,125.0,2.0,97.0,2002,9
Sweet Home Alabama,Comedy,PG-13,127214072,184521151,108.0,2.0,38.0,2002,9
Moonlight Mile,Drama,PG-13,6830957,9909094,117.0,2.0,60.0,2002,9
Tuck Everlasting,Drama,PG,19161999,27789959,90.0,2.0,61.0,2002,10
The Santa Clause 2,Comedy,G,139225854,201959095,104.0,2.0,55.0,2002,11
Treasure Planet,Adventure,PG,38120554,55189145,95.0,2.0,68.0,2002,11
The Hot Chick,Comedy,PG-13,35081550,50624654,104.0,2.0,22.0,2002,12
25th Hour,Drama,R,13084595,18325463,135.0,2.0,78.0,2002,12
The Recruit,Thriller/Suspense,PG-13,52784696,73793522,115.0,2.0,43.0,2003,1
Shanghai Knights,Adventure,PG-13,60470220,84537962,114.0,2.0,66.0,2003,2
The Jungle Book 2,Adventure,G,47901582,66966883,72.0,2.0,19.0,2003,2
Bringing Down the House,Comedy,PG-13,132675402,185481530,105.0,2.0,33.0,2003,3
Piglet's Big Movie,Comedy,G,23103423,32298812,75.0,2.0,63.0,2003,3
Ghosts of the Abyss,Documentary,G,17093668,23803108,61.0,2.0,79.0,2003,4
Holes,Drama,PG,67383924,94203395,117.0,2.0,78.0,2003,4
The Lizzie McGuire Movie,Comedy,PG,42734455,59743191,94.0,2.0,41.0,2003,5
Finding Nemo,Adventure,G,380529370,518148559,100.0,2.0,99.0,2003,5
Pirates of the Caribbean: The Curse o…,Adventure,PG-13,305411224,426967926,,2.0,79.0,2003,7
Freaky Friday,Comedy,PG,110222438,154090360,95.0,2.0,88.0,2003,8
Freaky Friday,Comedy,PG,110222438,154090360,97.0,2.0,88.0,2003,8
Open Range,Western,R,58331254,81547672,139.0,7.4,79.0,2003,8
Cold Creek Manor,Thriller/Suspense,R,21384035,29895090,118.0,4.9,12.0,2003,9
Under the Tuscan Sun,Comedy,PG-13,43601508,60944053,113.0,6.8,62.0,2003,9
Veronica Guerin,Drama,R,1569918,2194759,98.0,6.9,68.0,2003,10
Brother Bear,Adventure,G,85336277,119218333,85.0,6.8,38.0,2003,10
The Haunted Mansion,Comedy,PG,75817994,105775678,88.0,4.9,14.0,2003,11
Calendar Girls,Comedy,PG-13,31011616,42379650,108.0,6.9,73.0,2003,12
Young Black Stallion,Adventure,G,6751389,9254344,45.0,5.6,,2003,12
Teacher's Pet: The Movie,Comedy,PG,6491969,8812764,74.0,6.1,,2004,1
Miracle,Drama,PG,64378093,87392478,135.0,7.5,81.0,2004,2
Confessions of a Teenage Drama Queen,Comedy,PG,29331068,39816568,89.0,4.6,13.0,2004,2
Hidalgo,Western,PG-13,67286731,91340921,136.0,6.7,46.0,2004,3
The Ladykillers,Comedy,R,39692139,53881593,104.0,6.2,56.0,2004,3
Home on the Range,Comedy,PG,50026353,67910166,76.0,5.4,54.0,2004,4
The Alamo,Western,PG-13,22406362,30416359,137.0,,,2004,4
Raising Helen,Comedy,PG-13,37485528,50886144,119.0,6.0,23.0,2004,5
Around the World in 80 Days,Adventure,PG,24004159,32585356,120.0,8.0,31.0,2004,6
America's Heart and Soul,Documentary,Not Rated,314000,426246,84.0,7.0,40.0,2004,7
King Arthur,Adventure,PG-13,51877963,70423706,126.0,2.0,31.0,2004,7
The Village,Thriller/Suspense,PG-13,114197520,155021748,108.0,2.0,43.0,2004,7
The Princess Diaries 2: Royal Engagement,Romantic Comedy,G,95149435,129164207,113.0,2.0,25.0,2004,8
Mr. 3000,Comedy,PG-13,21800302,29593641,104.0,3.0,54.0,2004,9
The Last Shot,Comedy,R,463730,629502,93.0,5.6,43.0,2004,9
Ladder 49,Action,PG-13,74541707,101161045,115.0,4.0,45.0,2004,10
The Incredibles,Adventure,PG,261441092,354488708,115.0,2.0,97.0,2004,11
National Treasure,Adventure,PG,173005002,234069353,131.0,2.0,44.0,2004,11
The Life Aquatic with Steve Zissou,Comedy,R,24006726,32198655,119.0,2.0,56.0,2004,12
Aliens of the Deep,Documentary,G,8968684,11740942,47.0,6.5,79.0,2005,1
Pooh's Heffalump Movie,Adventure,G,18098433,23801835,68.0,6.4,62.0,2005,2
The Pacifier,Comedy,PG,113006880,148619029,95.0,5.6,20.0,2005,3
Ice Princess,Comedy,G,24381334,32064685,98.0,6.0,52.0,2005,3
A Lot Like Love,Comedy,PG-13,21835784,28716947,107.0,6.6,41.0,2005,4
The Hitchhiker's Guide to the Galaxy,Comedy,PG,51019112,67096891,109.0,6.8,60.0,2005,4
Hauru no ugoku shiro,Adventure,PG,4710455,6194870,119.0,8.2,87.0,2005,6
Herbie: Fully Loaded,Comedy,G,66010682,86812798,101.0,4.8,41.0,2005,6
Dark Water,Thriller/Suspense,PG-13,25473093,33500491,105.0,5.6,46.0,2005,7
Sky High,Adventure,PG,63939454,84088854,100.0,6.2,73.0,2005,7
Valiant,Adventure,G,19478106,25616292,76.0,5.6,32.0,2005,8
Flightplan,Thriller/Suspense,PG-13,89706988,117960425,98.0,6.3,38.0,2005,9
The Greatest Game Ever Played,Drama,PG,15331289,20162672,120.0,7.5,63.0,2005,9
Shopgirl,Drama,R,10284523,13519621,106.0,6.4,60.0,2005,10
Chicken Little,Adventure,G,135386665,177954661,81.0,5.7,37.0,2005,11
"The Chronicles of Narnia: The Lion, t…",Adventure,PG,291710957,381557539,,6.9,76.0,2005,12
Casanova,Drama,R,11304403,14574087,112.0,6.5,44.0,2005,12
Glory Road,Drama,PG,42647449,54888236,118.0,7.2,56.0,2006,1
Annapolis,Drama,PG-13,17127992,22044113,108.0,5.8,10.0,2006,1
Roving Mars,Documentary,G,10407978,12948025,40.0,7.4,88.0,2006,1
Eight Below,Adventure,PG,81612565,105037235,120.0,7.3,72.0,2006,2
The Shaggy Dog,Comedy,PG,61123569,78667428,98.0,1.0,68.0,2006,3
Stay Alive,Horror,PG-13,23086480,29712825,85.0,5.1,9.0,2006,3
The Wild,Adventure,G,37384046,48114115,94.0,5.3,55.0,2006,4
Stick It,Comedy,PG-13,26910736,34634731,103.0,6.4,30.0,2006,4
Goal! The Dream Begins,Drama,PG,4283255,5512647,118.0,6.7,44.0,2006,5
Cars,Comedy,G,244082982,314140384,117.0,7.1,74.0,2006,6
Pirates of the Caribbean: Dead Man’…,Adventure,PG-13,423315812,544817142,,7.3,53.0,2006,7
Step Up,Drama,PG-13,65328121,84078780,104.0,6.5,19.0,2006,8
Invincible,Drama,PG,57806952,74398864,105.0,8.8,96.0,2006,8
The Guardian,Action,PG-13,55011732,70801353,139.0,6.9,37.0,2006,9
The Prestige,Thriller/Suspense,PG-13,53089891,68289913,130.0,8.5,76.0,2006,10
Tim Burton's The Nightmare Before Chr…,Musical,PG,24732041,30737517,,8.0,95.0,2006,10
The Santa Clause 3: The Escape Clause,Comedy,G,84500122,108694869,92.0,3.0,17.0,2006,11
Déjà Vu,Thriller/Suspense,PG-13,64038616,82267038,126.0,7.0,56.0,2006,11
Apocalypto,Adventure,R,50866635,64959548,139.0,7.8,68.0,2006,12
Primeval,Adventure,R,10597734,12985302,93.0,4.8,23.0,2007,1
Bridge to Terabithia,Drama,PG,82234139,100760721,96.0,7.1,85.0,2007,2
Wild Hogs,Comedy,PG-13,168213584,206110533,100.0,5.9,14.0,2007,3
Meet the Robinsons,Adventure,G,97822171,119860589,95.0,6.8,66.0,2007,3
The Lookout,Drama,R,4600585,5637048,99.0,7.0,87.0,2007,3
The Hoax,Drama,R,7164995,8779196,116.0,6.7,62.0,2007,4
The Invisible,Thriller/Suspense,PG-13,20568319,25202168,102.0,6.2,20.0,2007,4
Pirates of the Caribbean: At World’…,Adventure,PG-13,309420425,379129960,,7.1,44.0,2007,5
Ratatouille,Comedy,G,206445654,252955933,111.0,8.0,96.0,2007,6
Underdog,Adventure,PG,43760605,53619462,82.0,4.8,15.0,2007,8
The Game Plan,Comedy,PG,90648202,111010758,110.0,6.1,28.0,2007,9
Dan in Real Life,Romantic Comedy,PG-13,47642963,58350234,98.0,6.8,64.0,2007,10
Enchanted,Romantic Comedy,PG,127706877,156074310,107.0,7.0,93.0,2007,11
National Treasure 2: Book of Secrets,Adventure,PG,219961501,267003525,124.0,2.0,35.0,2007,12
Hannah Montana/Miley Cyrus: Best of B…,Concert/Performance,G,65281781,76646993,,2.7,,2008,2
Step Up 2 the Streets,Drama,PG-13,58017783,68118371,98.0,2.0,27.0,2008,2
College Road Trip,Comedy,G,45610425,53550960,83.0,4.3,13.0,2008,3
The Chronicles of Narnia: Prince Caspian,Adventure,PG,141621490,166277038,150.0,6.5,67.0,2008,5
WALL-E,Adventure,G,223808164,262771918,98.0,8.4,95.0,2008,6
Swing Vote,Comedy,PG-13,16289867,19125841,120.0,6.1,38.0,2008,8
Goal! 2: Living the Dream...,Drama,PG-13,225067,264247,115.0,2.0,43.0,2008,8
Miracle at St. Anna,Drama,R,7916887,9295171,160.0,6.0,33.0,2008,9
Beverly Hills Chihuahua,Comedy,PG,94514402,110932022,91.0,3.8,40.0,2008,10
Morning Light,Documentary,PG,275093,322979,97.0,6.6,60.0,2008,10
High School Musical 3: Senior Year,Musical,G,90559416,106308538,112.0,3.0,65.0,2008,10
Bolt,Comedy,PG,114053759,133702498,96.0,6.8,89.0,2008,11
Bedtime Stories,Comedy,PG,110101975,128039679,99.0,6.0,25.0,2008,12
Confessions of a Shopaholic,Romantic Comedy,PG,44277350,49767744,104.0,5.9,25.0,2009,2
Jonas Brothers: The 3D Concert Experi…,Concert/Performance,G,38174685,38174685,,3.0,41.0,2009,2
Race to Witch Mountain,Adventure,PG,67172594,75501997,98.0,5.7,42.0,2009,3
Hannah Montana the Movie,Drama,G,79576189,89443640,102.0,4.5,44.0,2009,4
Earth,Documentary,G,32011576,35981010,90.0,2.0,87.0,2009,4
Up,Adventure,PG,293004164,329336681,96.0,2.0,98.0,2009,5
The Proposal,Romantic Comedy,PG-13,163958031,184288829,108.0,2.0,44.0,2009,6
G-Force,Adventure,PG,119436770,134246932,88.0,2.0,22.0,2009,7
Gake no ue no Ponyo,Adventure,G,15090399,16961607,101.0,2.0,95.0,2009,8
X Games 3D: The Movie,Documentary,PG,1391434,1563976,92.0,3.0,11.0,2009,8
Walt and El Grupo,Documentary,PG,20521,23064,106.0,2.0,76.0,2009,9
Surrogates,Action,PG-13,38577772,43361416,89.0,2.0,26.0,2009,9
Toy Story 3D Double Feature,Adventure,G,30702446,34509545,173.0,3.0,100.0,2009,10
Disney's A Christmas Carol,Drama,PG,137855863,154927105,96.0,6.8,55.0,2009,11
The Princess and the Frog,Adventure,G,104400899,116316457,97.0,7.1,85.0,2009,11
Old Dogs,Comedy,PG,49492060,55503929,88.0,5.4,5.0,2009,11
When in Rome,Romantic Comedy,PG-13,32680633,34917330,91.0,5.6,17.0,2010,1
Alice in Wonderland,Adventure,PG,334191110,357063499,108.0,2.0,51.0,2010,3
Waking Sleeping Beauty,Documentary,PG,80741,86264,86.0,2.0,92.0,2010,3
The Last Song,Drama,PG,62950384,67258772,107.0,2.0,20.0,2010,3
Oceans,Documentary,G,19422319,20751600,84.0,2.0,82.0,2010,4
Prince of Persia: Sands of Time,Action,PG-13,90759676,96971361,116.0,2.0,36.0,2010,5
Toy Story 3,Adventure,G,415004880,443408255,103.0,3.0,98.0,2010,6
The Sorcerer's Apprentice,Adventure,PG,63150991,67473105,109.0,2.0,40.0,2010,7
Step Up 3D,Drama,PG-13,42400223,45302137,107.0,3.0,46.0,2010,8
Gedo Senki (Tales from Earthsea),Adventure,PG-13,48658,51988,115.0,6.5,41.0,2010,8
You Again,Comedy,PG,25702053,27461121,105.0,5.8,19.0,2010,9
Secretariat,Drama,PG,59699513,63781920,123.0,7.2,63.0,2010,10
Tangled,Adventure,PG,200821936,214388548,100.0,7.7,89.0,2010,11
Tron: Legacy,Adventure,PG,172062763,183619259,125.0,6.8,51.0,2010,12
Gnomeo and Juliet,Comedy,G,99967670,106270797,84.0,6.0,55.0,2011,2
I am Number Four,Adventure,PG-13,55100437,58574607,109.0,6.1,32.0,2011,2
Mars Needs Moms,Adventure,PG,21392758,22741603,88.0,5.4,37.0,2011,3
African Cats,Documentary,G,15428747,16401551,89.0,7.3,76.0,2011,4
Zokkomon,Adventure,PG,2815,2984,109.0,4.2,,2011,4
Prom,Comedy,PG,10130219,10768946,104.0,5.4,50.0,2011,4
Pirates of the Caribbean: On Stranger…,Adventure,PG-13,241063875,256263359,,6.6,33.0,2011,5
Cars 2,Adventure,G,191450875,203522177,106.0,2.0,39.0,2011,6
Winnie the Pooh,Adventure,G,26692846,28375869,63.0,7.2,90.0,2011,7
The Help,Drama,PG-13,169705587,180404976,146.0,8.0,76.0,2011,8
Fright Night,Horror,R,18298649,19452402,106.0,6.3,72.0,2011,8
Real Steel,Action,PG-13,85463309,90848019,127.0,7.1,60.0,2011,10
The Muppets,Comedy,PG,88625922,94189503,103.0,7.1,95.0,2011,11
War Horse,Drama,PG-13,79883359,84762149,146.0,7.2,74.0,2011,12
The Secret World of Arietty,Adventure,G,19192510,20325733,94.0,7.6,94.0,2012,2
John Carter,Adventure,PG-13,73058679,77372445,132.0,6.6,52.0,2012,3
Chimpanzee,Documentary,G,28965459,30675725,78.0,7.2,74.0,2012,4
The Avengers,Action,PG-13,623279547,660081224,143.0,8.0,91.0,2012,5
Brave,Adventure,PG,237282182,251292441,93.0,7.1,78.0,2012,6
People Like Us,Drama,PG-13,12431792,13165822,114.0,7.1,56.0,2012,6
The Odd Life of Timothy Green,Drama,PG,51853450,54914942,105.0,6.6,33.0,2012,8
Frankenweenie,Comedy,PG,35287788,37363513,87.0,7.0,87.0,2012,10
Wreck-It Ralph,Adventure,PG,189412677,200354959,101.0,7.7,87.0,2012,11
Lincoln,Drama,PG-13,182207973,192122330,150.0,7.3,89.0,2012,11
Oz the Great and Powerful,Adventure,PG,234770996,243434130,130.0,6.3,56.0,2013,3
Iron Man 3,Action,PG-13,408992272,424084233,130.0,3.0,79.0,2013,5
Monsters University,Adventure,G,268488329,278395641,104.0,7.3,80.0,2013,6
The Lone Ranger,Western,PG-13,89302115,92597388,149.0,6.4,31.0,2013,7
Disney Planes,Comedy,PG,90282580,93614037,91.0,5.7,25.0,2013,8
The Fifth Estate,Drama,R,3254172,3374251,128.0,6.2,37.0,2013,10
Thor: The Dark World,Adventure,PG-13,206362140,213962184,112.0,6.9,66.0,2013,11
Kaze Tachinu,Drama,PG-13,5201879,5367415,126.0,7.8,89.0,2013,11
Frozen,Adventure,PG,400738009,414997174,102.0,7.4,90.0,2013,11
Delivery Man,Comedy,PG-13,30659817,31787136,105.0,6.4,39.0,2013,11
Saving Mr. Banks,Drama,PG-13,83299761,86249969,125.0,7.5,79.0,2013,12
Need for Speed,Action,PG-13,43568507,44955015,130.0,6.4,23.0,2014,3
Muppets Most Wanted,Comedy,PG,51178893,52807594,107.0,6.4,80.0,2014,3
Captain America: The Winter Soldier,Action,PG-13,259746958,268013076,136.0,7.7,90.0,2014,4
Bears,Documentary,G,17780194,18346024,77.0,7.4,89.0,2014,4
Million Dollar Arm,Drama,PG,36447959,37607865,124.0,7.0,63.0,2014,5
Maleficent,Adventure,PG,241407328,249089809,97.0,7.0,54.0,2014,5
Planes: Fire and Rescue,Adventure,PG,59157732,61040349,83.0,6.0,44.0,2014,7
Guardians of the Galaxy,Adventure,PG-13,333172112,343771168,121.0,8.0,91.0,2014,8
The Hundred-Foot Journey,Romantic Comedy,PG,54235441,55961409,122.0,7.3,67.0,2014,8
"Alexander and the Terrible, Horrible,…",Comedy,PG,66954149,69055550,,6.2,63.0,2014,10
Big Hero 6,Adventure,PG,222527828,229249222,102.0,6.0,90.0,2014,11
Into the Woods,Musical,PG,128002372,130894237,125.0,5.9,71.0,2014,12
Strange Magic,Adventure,PG,12429583,12429583,99.0,5.8,17.0,2015,1
"McFarland, USA",Drama,PG,44480275,44480275,129.0,7.4,80.0,2015,2
Cinderella,Drama,PG,201151353,201151353,74.0,2.0,83.0,2015,3
Cinderella,Drama,PG,201151353,201151353,105.0,2.0,83.0,2015,3
Monkey Kingdom,Documentary,G,16432322,16432322,81.0,7.3,94.0,2015,4
Avengers: Age of Ultron,Action,PG-13,459005868,459005868,141.0,7.3,75.0,2015,5
Tomorrowland,Adventure,PG,93436322,93436322,130.0,6.4,50.0,2015,5
Inside Out,Adventure,PG,356461711,356461711,95.0,8.1,98.0,2015,6
Ant-Man,Action,PG-13,180202163,180202163,117.0,7.3,83.0,2015,7
Bridge of Spies,Thriller/Suspense,PG-13,72313754,72313754,141.0,7.6,91.0,2015,10
The Good Dinosaur,Adventure,PG,123087120,123087120,93.0,6.7,76.0,2015,11
Star Wars Ep. VII: The Force Awakens,Adventure,PG-13,936662225,936662225,136.0,7.8,93.0,2015,12
The Finest Hours,Thriller/Suspense,PG,27569558,27569558,117.0,6.7,63.0,2016,1
Zootopia,Adventure,PG,341268248,341268248,108.0,8.0,98.0,2016,3
The Jungle Book,Adventure,PG,364001123,364001123,78.0,2.0,94.0,2016,4
The Jungle Book,Adventure,PG,364001123,364001123,111.0,2.0,94.0,2016,4
The Jungle Book,Adventure,PG,364001123,364001123,106.0,2.0,94.0,2016,4
A Beautiful Planet,Documentary,G,7895708,7895708,46.0,7.5,89.0,2016,4
Captain America: Civil War,Action,PG-13,408084349,408084349,147.0,7.8,91.0,2016,5
Alice Through the Looking Glass,Adventure,PG,77042381,77042381,113.0,6.2,29.0,2016,5
Finding Dory,Adventure,PG,486295561,486295561,97.0,7.3,94.0,2016,6
The BFG,Adventure,PG,55483770,55483770,117.0,2.0,74.0,2016,7
Pete’s Dragon,Adventure,PG,76233151,76233151,103.0,2.0,88.0,2016,8
The Light Between Oceans,Drama,PG-13,12545979,12545979,132.0,2.0,59.0,2016,9
Queen of Katwe,Drama,PG,8874389,8874389,124.0,2.0,93.0,2016,9
Doctor Strange,Adventure,PG-13,232532923,232532923,115.0,2.0,89.0,2016,11
Moana,Adventure,PG,246082029,246082029,107.0,2.0,96.0,2016,11
Rogue One: A Star Wars Story,Adventure,PG-13,529483936,529483936,133.0,2.0,84.0,2016,12
